Record Id,Project Title,Grant Number,Grant Funds,Related Grantees,Grantee Contact,Project Local Jurisdiction,City,Zip,Total Eligbile Improvement Costs,Transit Infrastructure Fund Assistnace,Agreement,Agreement URL,Created By
18,Anderson Ferry Improvements,22-3761,605427.42,3,Cincinnati Test,Cincinnati,Cincinnati,45201,605427.42,605427.42,,,marcus@yinconsulting.io
19,Crown Wasson Way Crossing Improvements,22-3746,450000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,450000,450000,,,marcus@yinconsulting.io
20,Wilder Ave Wall Rehab,22-3747,267958.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,267958,267958,,,marcus@yinconsulting.io
21,Gilbert Avenue Improvements,23-3921,4900000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,4900000,4900000,,,marcus@yinconsulting.io
22,Harrison Avenue Safety Improvements,23-3922,1856136.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,1856136,1856136,,,marcus@yinconsulting.io
23,Victory Parkway Safety Improvements,24-3988,6000000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,6000000,6000000,,,marcus@yinconsulting.io
24,Central Parkway Bikeway Phase 3,24-3989,2500000.00,3,Cincinnati Test,Cincinnati,Cincinnati,45201,2500000,2500000,,,marcus@yinconsulting.io
25,Ridge Avenue Rehabilitiation,24-3990,1206443.95,3,Cincinnati Test,Cincinnati,Cincinnati,45201,1206443.95,1206443.95,,,marcus@yinconsulting.io
26,Bus Bay Pull offs Project Colerain Ave,21-3599,400000.00,4,Colerain Township Test,Colerain Township,Colerain Township,45201,400000,400000,,,marcus@yinconsulting.io
27,Colerain Ave Sidewalks,22-3744,1000000.00,4,Colerain Township Test,Colerain Township,Colerain Township,45201,1000000,1000000,,,marcus@yinconsulting.io
28,Joseph Road Sidewalks,23-3923,173250.00,4,Colerain Township Test,Colerain Township,Colerain Township,45201,173250,173250,,,marcus@yinconsulting.io
29,Plainfield Road Improvements,21-DP-3614,680000.00,6,Deer Park Test,Deer Park,Deer Park,45201,680000,680000,,,marcus@yinconsulting.io
30,Oakwood Avenue Improvements,22-3766,1227854.30,6,Deer Park Test,Deer Park,Deer Park,45201,1227854.3,1227854.3,,,marcus@yinconsulting.io
31,Linden Avenue Improvements,23-3924,452000.00,6,Deer Park Test,Deer Park,Deer Park,45201,452000,452000,,,marcus@yinconsulting.io
32,Neeb Rd Improvements,21-3610,356893.00,7,Delhi Township Test,Delhi Township,Delhi Township,45201,356893,356893,,,marcus@yinconsulting.io
33,Greenwell Ave Improvements,21-3606,130407.00,7,Delhi Township Test,Delhi Township,Delhi Township,45201,130407,130407,,,marcus@yinconsulting.io
34,Mt. Alverno Rd Improvements,21-3611,93764.00,7,Delhi Township Test,Delhi Township,Delhi Township,45201,93764,93764,,,marcus@yinconsulting.io
35,Winton Road & W. Kemper Road Corridor Project,21-3603,1206049.00,8,Forest Park Test,Forest Park,Forest Park,45201,1206049,1206049,,,marcus@yinconsulting.io
36,Kenn Rd. Transit Corridor,22-3748,298024.00,8,Forest Park Test,Forest Park,Forest Park,45201,298024,298024,,,marcus@yinconsulting.io
37,Forest Park Traffic Controls Improvements,23-3925,447810.00,8,Forest Park Test,Forest Park,Forest Park,45201,447810,447810,,,marcus@yinconsulting.io
38,Wiehe Rd Improvements,21-GM-3605,510975.00,10,Golf Manor Test,Golf Manor,Golf Manor,45201,510975,510975,,,marcus@yinconsulting.io
39,Losantiville Intersections,22-3751,509982.65,10,Golf Manor Test,Golf Manor,Golf Manor,45201,509982.65,509982.65,,,marcus@yinconsulting.io
40,Ridgeacres Drive Improvements,23-3926,96000.00,10,Golf Manor Test,Golf Manor,Golf Manor,45201,96000,96000,,,marcus@yinconsulting.io
41,Parking lot at Eswin and Enfield Project,21-3619,116400.00,11,Greenhills Test,Greenhills,Greenhills,45201,116400,116400,,,marcus@yinconsulting.io
42,Farragut Rd. & Enfield St.,22-3758,233800.00,11,Greenhills Test,Greenhills,Greenhills,45201,233800,233800,,,marcus@yinconsulting.io
43,Ingram Road & Farragut Avenue Improvements,23-3928,692560.00,11,Greenhills Test,Greenhills,Greenhills,45201,692560,692560,,,marcus@yinconsulting.io
44,MT Alverno Improvement,21-HC-3615,1456385.00,12,Hamilton County Test,Hamilton County,Hamilton County,45201,1456385,1456385,,,marcus@yinconsulting.io
45,Simpson Ave Improvement,21-3618,292644.00,12,Hamilton County Test,Hamilton County,Hamilton County,45201,292644,292644,,,marcus@yinconsulting.io
46,Hillside Rd. Landslide Correction,22-3750,2124000.00,12,Hamilton County Test,Hamilton County,Hamilton County,45201,2124000,2124000,,,marcus@yinconsulting.io
47,Sutton Road,23-3929,1633500.00,12,Hamilton County Test,Hamilton County,Hamilton County,45201,1633500,1633500,,,marcus@yinconsulting.io
48,Springdale Road,23-3930,1227600.00,12,Hamilton County Test,Hamilton County,Hamilton County,45201,1227600,1227600,,,marcus@yinconsulting.io
49,Crookshank & Anderson Ferry Roads,23-3931,1049400.00,12,Hamilton County Test,Hamilton County,Hamilton County,45201,1049400,1049400,,,marcus@yinconsulting.io
50,Wabash Avenue and Leggett Street,21-3617,656500.00,14,Lincoln Heights Test,Lincoln Heights,Lincoln Heights,45201,656500,656500,,,marcus@yinconsulting.io
51,Chamberlain Avenue and Douglas Street Improvements,22-3759,798400.00,14,Lincoln Heights Test,Lincoln Heights,Lincoln Heights,45201,798400,798400,,,marcus@yinconsulting.io
52,"Adams, Jackson, Magee, Carey & Chester Improvements",23-3932,2439512.50,14,Lincoln Heights Test,Lincoln Heights,Lincoln Heights,45201,2439512.5,2439512.5,,,marcus@yinconsulting.io
53,Simmons Avenue Improvements,23-3933,207900.00,14,Lincoln Heights Test,Lincoln Heights,Lincoln Heights,45201,207900,207900,,,marcus@yinconsulting.io
54,Miami Ave Improvement,21-3621,3585391.00,15,Madeira Test,Madeira,Madeira,45201,3585391,3585391,,,marcus@yinconsulting.io
55,Camargo Road Improvements,22-3769,1400000.00,15,Madeira Test,Madeira,Madeira,45201,1400000,1400000,,,marcus@yinconsulting.io
56,Camargo Road Improvements,23-3934,920000.00,15,Madeira Test,Madeira,Madeira,45201,920000,920000,,,marcus@yinconsulting.io
57,Laurel Avenue Improvements,23-3935,894457.00,15,Madeira Test,Madeira,Madeira,45201,894457,894457,,,marcus@yinconsulting.io
58,Compton Rd Improvement,21-3602,872800.00,16,Mt. Healthy Test,Mt. Healthy,Mt. Healthy,45201,872800,872800,,,marcus@yinconsulting.io
59,Harrison Ave. (Compton to Adams),22-3753,552000.00,16,Mt. Healthy Test,Mt. Healthy,Mt. Healthy,45201,552000,552000,,,marcus@yinconsulting.io
60,Harrison Avenue Improvements (Kemper Rd to Compton Rd),23-3939,582400.00,16,Mt. Healthy Test,Mt. Healthy,Mt. Healthy,45201,582400,582400,,,marcus@yinconsulting.io
61,Hamilton Ave Improvement,21-3601,552045.00,17,North College Hill Test,North College Hill,North College Hill,45201,552045,552045,,,marcus@yinconsulting.io
62,W. Galbraith Road Improvements,22-3749,1107585.00,17,North College Hill Test,North College Hill,North College Hill,45201,1107585,1107585,,,marcus@yinconsulting.io
63,Montgomery Rd Improvement,21-3596,765900.00,18,Norwood Test,Norwood,Norwood,45201,765900,765900,,,marcus@yinconsulting.io
64,Montgomery Road Pedestrian and Safety Improvements,22-3733,2317825.00,18,Norwood Test,Norwood,Norwood,45201,2317825,2317825,,,marcus@yinconsulting.io
65,Montgomery Road North Improvements,24-3991,736500.00,18,Norwood Test,Norwood,Norwood,45201,736500,736500,,,marcus@yinconsulting.io
66,Hauck Road Improvement,21-3604,268000.00,19,Sharonville Test,Sharonville,Sharonville,45201,268000,268000,,,marcus@yinconsulting.io
67,Kemper Shared Use Path Improvements,22-3769,271600.00,19,Sharonville Test,Sharonville,Sharonville,45201,271600,271600,,,marcus@yinconsulting.io
68,US42 Shared USE Path,23-3942,950000.00,19,Sharonville Test,Sharonville,Sharonville,45201,950000,950000,,,marcus@yinconsulting.io
69,Cornell Road Improvements,24-3992,913033.00,19,Sharonville Test,Sharonville,Sharonville,45201,913033,913033,,,marcus@yinconsulting.io
70,Plainfield Rd Improvement,21-3609,357000.00,20,Silverton Test,Silverton,Silverton,45201,357000,357000,,,marcus@yinconsulting.io
71,Section Road Improvements,23-3943,390566.09,20,Silverton Test,Silverton,Silverton,45201,390566.09,390566.09,,,marcus@yinconsulting.io
72,E. Kemper Road Bridge over the CSX,21-3600,110000.00,21,Springdale Test,Springdale,Springdale,45201,110000,110000,,,marcus@yinconsulting.io
73,Northland Boulevard Improvements,23-3944,2000000.00,21,Springdale Test,Springdale,Springdale,45201,2000000,2000000,,,marcus@yinconsulting.io
74,"East Kemper Rd Improvements, Phase 1",24-3993,2232000.00,21,Springdale Test,Springdale,Springdale,45201,2232000,2232000,,,marcus@yinconsulting.io
75,Compton Rd,21-3620,1003310.00,23,Wyoming Test,Wyoming,Wyoming,45201,1003310,1003310,,,marcus@yinconsulting.io
76,Reily Road Improvements,23-3948,622050.00,23,Wyoming Test,Wyoming,Wyoming,45201,622050,622050,,,marcus@yinconsulting.io
77,Blue Ash Central System South,22-3763,602660.00,24,Blue Ash Test,Blue Ash,Blue Ash,45201,602660,602660,,,marcus@yinconsulting.io
78,Applegate Ave.,22-3745,227645.00,25,Cheviot Test,Cheviot,Cheviot,45201,227645,227645,,,marcus@yinconsulting.io
79,Bridgetown Road & Nolan Ave Improvements,24-3987,285152.00,25,Cheviot Test,Cheviot,Cheviot,45201,285152,285152,,,marcus@yinconsulting.io
80,Township & Vine Improvements,22-3762,504000.00,26,Elmwood Test,Elmwood,Elmwood,45201,504000,504000,,,marcus@yinconsulting.io
81,North Bend Road Intersections,22-3740,1150000.00,27,Green Township Test,Green Township,Green Township,45201,1150000,1150000,,,marcus@yinconsulting.io
82,Blue Rock Road Sidewalks,23-3927,248879.00,27,Green Township Test,Green Township,Green Township,45201,248879,248879,,,marcus@yinconsulting.io
83,Shepherd Ave & Smalley Rd. Improvements,22-3737,304000.00,28,Lockland Test,Lockland,Lockland,45201,304000,304000,,,marcus@yinconsulting.io
84,Montgomery Road Sidewalk Improvements,22-3764,184730.00,29,Montgomery Test,Montgomery,Montgomery,45201,184730,184730,,,marcus@yinconsulting.io
85,W. Columbia Avenue Improvements,22-3754,265000.00,30,Reading Test,Reading,Reading,45201,265000,265000,,,marcus@yinconsulting.io
86,Landy Lane,23-3940,130350.00,30,Reading Test,Reading,Reading,45201,130350,130350,,,marcus@yinconsulting.io
87,Koehler Avenue Improvements,23-3941,71500.00,30,Reading Test,Reading,Reading,45201,71500,71500,,,marcus@yinconsulting.io
88,Brentwood Village Rehabilitation Project,22-3755,1280809.00,31,Springfield Township Test,Springfield Township,Springfield Township,45201,1280809,1280809,,,marcus@yinconsulting.io
89,Galbraith Road Widening Project,22-3735,1206999.00,31,Springfield Township Test,Springfield Township,Springfield Township,45201,1206999,1206999,,,marcus@yinconsulting.io
90,Fields-Ertel Sidewalk,22-3765,445770.00,32,Symmes Township Test,Symmes Township,Symmes Township,45201,445770,445770,,,marcus@yinconsulting.io
91,Montgomery Road Sidewalk Improvements,24-3995,766756.00,32,Symmes Township Test,Symmes Township,Symmes Township,45201,766756,766756,,,marcus@yinconsulting.io
92,Springfield Pike Sidewalk & Grueninger Way Improvements,22-3736,1221600.00,33,Woodlawn Test,Woodlawn,Woodlawn,45201,1221600,1221600,,,marcus@yinconsulting.io
93,Glendale Milford Sidewalk Improvements,23-3947,470140.00,33,Woodlawn Test,Woodlawn,Woodlawn,45201,470140,470140,,,marcus@yinconsulting.io
94,Pleasant Street & Dale Park Sidewalk Project,23-3936,315000.00,34,Mariemont Test,Mariemont,Mariemont,45201,315000,315000,,,marcus@yinconsulting.io
95,Pocahontas Avenue Rehabilitation,23-3937,148500.00,34,Mariemont Test,Mariemont,Mariemont,45201,148500,148500,,,marcus@yinconsulting.io
96,Grove Avenue Rehabilitation,23-3938,108500.00,34,Mariemont Test,Mariemont,Mariemont,45201,108500,108500,,,marcus@yinconsulting.io
97,Jason's Super Project,1010,1000000.00,23,Herbie Hanford,Wyoming,Wyoming,45678,1000000,90000,Rent+Invoice+Jan+2026.pdf,https://apps.opengov.com/apps/guuj01sg1/tables/iw3twwkw2/file-view/97/gklgmtdq3,jroe@go-metro.com
98,Fake Elsltun Rd Sidewalk,,1000000.00,1,Bruce Wyane,Addyston,Addyston,45202,2000000,1000000,,,jroe@go-metro.com
99,,,0.00,,,,,,0,0,,,marcus@yinconsulting.io
100,,,0.00,,,,,,0,0,,,mdellavolpe@opengov.com
101,,,0.00,,,,,,0,0,,,marcus@yinconsulting.io
102,,,0.00,,,,,,0,0,,,marcus@yinconsulting.io
